0,1,2
"Clonidine ER (Kapvay) and Guanfacine ER (Intuniv) are approved for children between the ages of 6 and 17. Doctors also prescribe them to adults. These two drugs have an effect on certain areas in the brain. Studies show they lower distractibility and improve attention, working memory, and impulse control.",Who should take clonidine and guanfacine for ADHD?,ADD-ADHD
"The Child Behavior Checklist/Teacher Report Form (CBCL) is a scale that looks at physical complaints, aggressive or delinquent behavior, and withdrawal.",What is the Child Behavior Checklist/Teacher Report Form?,ADD-ADHD
Combining a stimulant with a blood pressure medication can be risky: Some children taking both stimulants and clonidine HCL have died. It's unclear whether their deaths were due to the combination of drugs.,Is it safe to take blood pressure drugs with stimulants to treat ADHD?,ADD-ADHD
"Your doctor will also probably wait until your child is at least 4 to diagnose oppositional defiant disorder. This kind of behavior can be normal at 2 or 3 years old, but it becomes a problem if it continues as your child gets older. Your doctor will want to wait to make a firm diagnosis of oppositional defiant disorder until your child’s behavior is more extreme than what is age-appropriate.",At what age do kids usually see a doctor for oppositional defiant disorder?,ADHD in Children Health Center
"Foods high in zinc include oysters and other seafood, red meat, poultry, dairy products, beans, nuts, whole grains, and fortified cereals.",Which foods are high in zinc?,ADHD in Children Health Center
"Children with ADHD often have trouble functioning at home and in school and can have difficulty making and keeping friends. If left untreated, ADHD may interfere with school and work, as well as with social and emotional development.",What can happen if ADHD is left untreated?,ADHD in Children Health Center
"The treatment usually depends on how serious the problem is. For instance, if you have an occasional inflamed pimple, you may use skin compounds containing:",How do you treat an inflamed pimple?,Acne
"If blocked pores become infected or inflamed, a pimple -- a raised red spot with a white center -- forms. If the pore clogs, closes, and then bulges, you have a whitehead. A blackhead occurs when the pore clogs, stays open, and the top has a blackish appearance due to oxidation or exposure to air. (This has nothing to do with skin being ""dirty"").",What happens when blocked pores on your face become infected or inflamed?,Acne
"The sun's ultraviolet rays can increase inflammation and redness, and can cause post-inflammatory hyperpigmentation (dark discoloration). Some acne medications may make your skin more sensitive to sunlight. Limit your time in the sun, especially between the hours of 10 a.m. and 4 p.m., and wear protective clothing, such as a long-sleeved shirt, pants, and a broad-brimmed hat. Whether you have pimples or not, always apply a broad-spectrum sunscreen with 6% zinc oxide or higher and  SPF 30 or higher at least 20 minutes before sun exposure. Look for ""noncomedogenic"" on the sunscreen label to make new pimples less likely. Read the ingredients on the product label to know what you're putting on your skin.",How does sun exposure affect acne?,Acne
"Most often, acne will go away on its own at the end of puberty, but some people still struggle with acne in adulthood. Almost all acne can be successfully treated, however. It’s a matter of finding the right treatment for you.",Will my acne ever go away?,Acne
It is not clear why some people are more prone to acne than others.,Why do some people get acne and others don't?,Acne
"Many people swear by alternative acne treatments. But the American Academy of Dermatology (AAD) says that ""all-natural supplements"" have not been shown to be effective, and some may even be harmful. The AAD also states that there is no evidence that any dietary regimen has an effect on acne.",How effective are alternative treatments for acne?,Acne
"Pertussis is the only vaccine-preventable disease that continues to rise in the U.S. Before 2005, only young children could receive the pertussis vaccine. Waning immunity and inadequate vaccination -- many parents choose not to vaccinate their children -- have led to a resurgence of the disease in the U.S. in recent years. Outbreaks of pertussis among adolescents and adults have been reported in several states.",How common is pertussis?,Adult Vaccines
"Like all medicines, vaccines can have side effects. However, the chance of a life-threatening reaction is small. The CDC says the dangers of developing pertussis, tetanus, or diphtheria far outweigh the risks of vaccination.",What are the side effects and risks of Tdap and Td vaccine?,Adult Vaccines
You may be given the Tdap vaccine if you have a severe cut or burn and have never received a dose before. Severe cuts or burns raise your risk of getting tetanus.,When should I get the Tdap vaccine?,Adult Vaccines
"Tetanus is a bacterial infection caused by a wound or cut. It affects the brain and nervous system and causes extremely painful muscle spasms. Spasms of the jaw can make it impossible for you to open your mouth. This condition is often called ""lockjaw."" Tetanus kills one out of five people infected with the disease.",What is tetanus?,Adult Vaccines
"The CDC recommends the Tdap vaccine for all adults ages 19 and older who have never received the vaccine, especially:",Which adults should get the Tdap vaccine?,Adult Vaccines
"The HPV vaccine contains no viruses and is not made from human papillomavirus. The active ingredients in the HPV vaccine are proteins that are similar to those found in the human papillomavirus. Genetically modified bacteria produce the proteins, which are then purified and mixed into a sterile, water-based solution.",What are the ingredients of human papillomavirus (HPV) vaccine?,Adult Vaccines
"Although it's rare, someone may have a severe allergic reaction to an ingredient in the vaccine. Most of the time, such reactions occur within a few minutes to a few hours of receiving the vaccine. The following can be signs of a severe allergic reaction:",What are signs of severe allergic reaction to influenza vaccine?,Adult Vaccines
"Human papillomavirus is spread through sexual contact. Some types of HPV cause genital warts. Others can give you cancer. When you catch HPV, you won’t have sore throat, fever, or other signs that you’re infected. Most people clear the infection on their own. In fact, you might have absolutely no idea you've been infected until you develop genital warts or have an abnormal Pap test.",What are the symptoms of human papillomavirus (HPV)?,Adult Vaccines
"HPV stands for human papillomavirus. It's a virus that can be transmitted through sexual contact. During intercourse or oral sex, HPV can make its way into the genitals, mouth, or throat and cause infection.",What is the human papillomavirus (HPV)?,Adult Vaccines
"HPV infection is extremely common; most sexually active people will be infected with HPV at some point in life. HPV infection usually causes no symptoms, but can cause genital warts and anal cancer in both women and men. HPV can also cause throat cancer.",How common is human papillomavirus (HPV)?,Adult Vaccines
"Pertussis, or whooping cough, is an extremely contagious respiratory infection that can lead to severe breathing problems, especially in infants. Pertussis first appears like an ordinary cold, but then causes intense, uncontrollable coughing spells. You'll hear a ""whoop"" noise when you try to take a breath after coughing.",What is pertussis?,Adult Vaccines
"Although it's rare, someone may have a severe allergic reaction to an ingredient in the Tdap or Td vaccine. This generally happens in fewer than one in a million doses. Most of the time, such reactions occur within a few minutes of receiving the vaccine.",Can adults have severe allergic reactions to Tdap or Td vaccines?,Adult Vaccines
"Tdap is a combination vaccine that protects against three potentially life-threatening bacterial diseases: tetanus, diphtheria, and pertussis (whooping cough). Td is a booster vaccine for tetanus and diphtheria. It does not protect against pertussis.",What is Tdap and Td vaccine?,Adult Vaccines
Mild side effects of the Td vaacine may include:,What are the side effects of the Td vaccine?,Adult Vaccines
Mild side effects of Tdap may include:,What are the mild side effects of Tdap vaccine?,Adult Vaccines
"Severe side effects, or adverse events, are uncommonly reported and have included:",What are the severe side effects of human papillomavirus (HPV) vaccine?,Adult Vaccines
Sometimes the vaccine can cause mild side effects. These may include:,What are the side effects of a tetanus shot?,Adult Vaccines
"Yes. In fact, current guidelines recommend that women receive a Tdap vaccine each time they get pregnant, specifically to prevent pertussis. Wait to get the vaccine if you have a moderate to severe acute illness.",Can pregnant women get a tetanus shot?,Adult Vaccines
"You can't get it from another person. You can get it through a cut or other wound. Tetanus bacteria live in soil, dust, and manure. The bacteria can infect you even through a tiny scratch. But you're more likely to get it through deep punctures from wounds created by nails or knives. The bacteria travel via your blood or nerves to the central nervous system.",How do you get tetanus?,Adult Vaccines
"In studies, people suffering from daily sinus symptoms found relief from using the Neti pot or other nasal irrigation system daily. Three times a week was often enough once symptoms subsided.",How often do you need to use a neti pot to get relief from sinus symptoms?,Allergies
"Depending on the extent of the procedure, you may need what’s called nasal packing. This is when your doctor places gauze-like material in the nasal cavity to absorb blood or other fluids right after surgery. They will take them out at your next follow-up appointment. There are also dissolvable packing materials that don’t need to be removed.",What is nasal packing?,Allergies
"Balloon sinuplasty is a type of sinus surgery. If your doctor doesn’t need to remove anything from your sinuses, you may be a good candidate for it.",What is a balloon sinuplasty for sinusitis?,Allergies
"Research has found that the Neti pot is generally safe. A small number of regular users experience mild side effects, such as nasal irritation and stinging. Nosebleeds can also occur, but they are rare. Reducing the amount of salt in the solution, adjusting the frequency of Neti pot use, and changing the temperature of the water may help to reduce side effects.",Is a neti pot safe?,Allergies
"Over-the-counter mast cell stabilizer drops include: �Ketotifen fumarate (Claritin Eye, Refresh Eye Itch Relief)",What eye drops are mast cell stabilizers?,Allergies
"Antihistamine pills and liquids work by blocking histamine to relieve watery, itchy eyes. They include cetirizine (Zyrtec), diphenhydramine (Benadryl), fexofenadine (Allegra), or loratadine (Alavert, Claritin), among others. Some may cause drowsiness.",How do antihistamine pills and eye drops used to treat eye allergies?,Allergies
"Steroids, also called corticosteroids, can lower swelling that comes with allergies. They prevent and treat sneezing and stuffy, runny, or itchy nose. They also help with red, itchy eyes. These drugs can be used for allergies, hay fever, and asthma. They come in pills, nose sprays, inhalers, eye drops, or skin creams. Steroids work very well, but must be taken regularly and often when you don’t have symptoms. It may take 1-2 weeks for the medication to kick in fully.",How are steroids used to treat allergies?,Allergies
Prescription antihistamines include:,What prescription antihistamines are available?,Allergies
Tree nuts include:,What are types of tree nuts?,Allergies
Peanuts or tree nuts are in many foods. Take care to avoid them if you are allergic to nuts. Examples include:,What types of foods have nuts?,Allergies
Blow your nose gently. Block one nostril while you blow through the other.,How should you blow your nose if you have stuffy ears and sinuses?,Allergies
"A sulfa allergy sounds like a sulfite allergy, but they’re very different. Sulfa drugs treat health conditions. Sulfites are preservatives used in many foods, drinks (especially wine), and medications.",What's the difference between sulfa allergies and sulfite allergies?,Allergies
Your doctor can often diagnose a nickel allergy by looking at your skin and asking if you’ve touched anything metal.,Is there a test that can tell you if you're allergic to nickel?,Allergies
Some steroids include:,Which steroids are used to treat allergies?,Allergies
"Soothe your sore throat by sipping plenty of liquids to stay hydrated. Warm drinks -- not hot ones -- also help. Try broth or herbal tea with honey or lemon. Caffeinated drinks like coffee or soda may dehydrate you, so skip them.",How do I keep my sore throat moist?,Allergies
"In some cases, your doctor may prescribe inhaled steroids to bring down the swelling in the sinus membranes. For tough cases of chronic sinusitis, you may need to take steroids by mouth.",How can steroids help with sinusitis?,Allergies
"Lactose intolerance is when you can't digest lactose, the sugar found in dairy products. You'll often get symptoms like stomach pain, gas, and diarrhea.",What is the difference between lactose intolerance and a milk allergy?,Allergies
You can:,What are some home remedies for sinusitis?,Allergies
"Acute sinusitis is inflammation that lasts up to four weeks. Chronic sinusitis lasts at least several weeks and can linger for years. Its cause can be hard to pin down -- and hard to treat. Sinusitis might start because of a cold or allergies. Fungus can cause it for people who have weak immune systems. Sometimes, chronic sinusitis happens because of problems with the structure of the nasal passages, or a growth such as a nasal polyp that keeps the sinuses from draining normally. Acute and chronic sinusitis have similar symptoms:",What are acute and chronic sinusitis?,Allergies
"Once a nickel allergy develops, it often lasts your whole life. But there are ways to ease your symptoms.",How is a nickel allergy treated?,Allergies
"Some allergy drugs contain both an antihistamine and a decongestant to relieve multiple allergy symptoms. Other drugs have multiple effects aside from just blocking the effects of histamine, such as preventing mast cells from releasing other allergy-inducing chemicals. Some examples of combination allergy medicines include:",What combination allergy drugs are used for allergies?,Allergies
"Steroids are drugs that can lower swelling that comes with allergies, asthma, and similar conditions. This medication when taken by mouth can cause side effects that include:",What are the side effects of steroids for allergies?,Allergies
"Occasionally, if you have chronic sinusitis or acute sinusitis that keeps coming back, an operation may be the best choice. The surgeon can remove blockages and enlarge the sinus passages, which makes it easier for them to drain.",When is surgery needed for sinusitis?,Allergies
Not everyone will have the same warning signs of Lewy body dementia. They often depend on the type of LBD you have. They might be mild or get worse at times.,What are the symptoms of Lewy body dementia (LBD)?,Alzheimers
"There is no cure for Alzheimer's disease. Once a person starts showing signs -- memory loss and problems with learning, judgment, communication, and daily life -- there aren’t any treatments that can stop or reverse them.",Can Alzheimer's disease be cured?,Alzheimers
"When someone is sundowning, they may be:",What are the signs of sundowning?,Alzheimers
"Lewy bodies, named after the scientist who discovered them, are made of a protein called alpha-synuclein. When they build up, they keep your brain from making the right amount of two important chemicals. One of them, called acetylcholine, affects your memory and learning. The other, called dopamine, affects how you move, your mood, and your sleep.",What causes Lewy body dementia (LBD)?,Alzheimers
"This drug may be prescribed for Alzheimer’s disease that isn’t too severe yet, as well as other types of dementia. Most people don’t have side effects. But some do have:",What are side effects of cholinesterase inhibitors for the treatment of dementia?,Alzheimers
"This drug may be prescribed for Alzheimer’s disease that is moderate to severe. Memantine could help improve memory, attention, reasoning, and language. It helps balance glutamate, a brain chemical involved in memory and learning. Studies show that memantine can curb delusions, hallucinations, agitation, aggression, and irritability that can happen with dementia. It can also help your loved one with disorientation and make their daily activities easier.",How can memantine help with treating dementia?,Alzheimers
About 20% of the causes of dementia are reversible.,What are reversible causes of dementia?,Alzheimers
"Many basic abilities in a person with Alzheimer's, such as eating, walking, and sitting up, fade during this period. You can stay involved by feeding your loved one with soft, easy-to-swallow food, helping them use a spoon, and making sure they stay hydrated. This is important, as many people at this stage can no longer tell when they're thirsty.",What is stage 7 of Alzheimer's disease?,Alzheimers
"In this stage of Alzheimer's, your loved one might recognize faces but forget names. They might also mistake a person for someone else. Delusions might set in, such as thinking it's time to go to work even though they no longer have a job.",What is stage 6 of Alzheimer's disease?,Alzheimers
"This condition results from a problem with a gene you get from one of your parents. It affects the central part of your brain -- the area that helps you think, move, and show emotion.",What is Huntington's disease?,Alzheimers
"If someone you love gets diagnosed with dementia, it means they have a progressive and sometimes chronic brain condition that causes problems with their thinking, behavior, and memory.",What is dementia?,Alzheimers
"There is no cure for ankylosing spondylitis, but there are treatments that can reduce discomfort and improve function. The goals of treatment are to reduce pain and stiffness, maintain a good posture, prevent deformity, and preserve the ability to perform normal activities. When properly treated, people with ankylosing spondylitis may lead fairly normal lives. Under ideal circumstances, a team approach to treat spondylitis is recommended. Members of the treatment team typically include the patient, doctor, physical therapist, and occupational therapist. In patients with severe deformities, osteotomy and fusion can be done.",How is ankylosing spondylitis treated?,Ankylosing Spondylitis
"Some studies focus on genes, including HLA-B27, that make you more likely to get the disease. Others focus on proteins that may trigger inflammation. Researchers hope to come up with new drugs to stop AS before it can damage your back and other joints.",What new treatments are being researched for ankylosing spondylitis?,Ankylosing Spondylitis
"When you strengthen the muscles that support your spine, you can boost your flexibility and lower pain.",How can working with a physical therapist help you manage ankylosing spondylitis?,Ankylosing Spondylitis
"Eating healthy food and watching your portions can control your weight, and that’s important. Extra pounds mean extra pressure on your spine and joints. While there’s no one diet that’s recommended for AS, foods with anti-inflammatory properties -- such as those high in omega-3 fatty acids (like salmon) -- could help.",How can eating smart help you manage ankylosing spondylitis?,Ankylosing Spondylitis
"The diagnosis of ankylosing spondylitis is based on several factors, including:",How is ankylosing spondylitis diagnosed?,Ankylosing Spondylitis
"There is no specific test to diagnose ankylosing spondylitis, but imaging by X-ray and MRI may show evidence of inflammation of the sacroiliac joint. Some symptoms may include:",How do I know if I have ankylosing spondylitis?,Ankylosing Spondylitis
Biologic drugs used to treat AS include:,What are some biologic drugs used to treat ankylosing spondylitis?,Ankylosing Spondylitis
They affect your immune system and can help curb inflammation. They may help with the arthritis that can damage your back and other joints. They also may ease symptoms like joint pain and swelling. DMARDs don’t work very well for inflammation in the spine.,How do DMARDs treat anklyosing spondilitis?,Ankylosing Spondylitis
"Ankylosing spondylitis is a type of arthritis that affects the spine. Ankylosing spondylitis symptoms include pain and stiffness from the neck down to the lower back. The spine's bones (vertebrae) fuse together, resulting in a rigid spine. These changes may be mild or severe, and may lead to a stooped-over posture. Early diagnosis and treatment helps control pain and stiffness and may reduce or prevent significant deformity.",What is ankylosing spondylitis?,Ankylosing Spondylitis
"These are live, friendly bacteria. You find them in yogurt and other fermented foods. They're in supplements, too. Some doctors think a change in gut bacteria can help uveitis.",What are probiotics and how can they help uveitis?,Ankylosing Spondylitis
NSAIDs used to treat AS pain and stiffness include:,What NSAIDs can treat pain from my ankylosing spondylitis?,Ankylosing Spondylitis
"People with spondylitis are encouraged to sleep on a firm mattress with the back straight. Placing large pillows under the head is discouraged, since it may promote neck fusion in the flexed position. Similarly, propping the legs up on pillows should be avoided because it may lead to hip or knee fusion in the bent position. Choose chairs, tables, and other work surfaces that will help avoid slumping or stooping. Armchairs are preferred over chairs without arms. Since those with ankylosing spondylitis could easily hurt their rigid necks or backs, special care should be taken to avoid sudden impact, such as jumping or falling.",What are some tips to help with ankylosing spondylitis?,Ankylosing Spondylitis
"Anterior uveitis (your doctor may call it iritis) is inflammation in the front part of your eye. That includes the iris, the colored part. It’s the most common type in people with AS. If it's not treated, anterior uveitis can lead to cataracts, glaucoma, or a buildup of fluid called retinal edema.",What is anterior uveitis?,Ankylosing Spondylitis
"Nonsteroidal anti-inflammatory drugs (NSAIDs) -- such as ibuprofen, naproxen, and aspirin -- are the most commonly used drugs for spondylitis treatment. In moderate to severe cases, other drugs may be added to the treatment regimen. Disease-modifying antirheumatic drugs (DMARDs), such as methotrexate (Rheumatrex), can be used when NSAIDs alone are not enough to reduce the inflammation, stiffness, and pain. In addition, relatively new drugs called biologics have been FDA-approved for treating ankylosing spondylitis. Also, the antidepressant Cymbalta has been approved for chronic back pain as well. Steroid injections into the joint or tendon may be helpful in some cases.",What medications can help with ankylosing spondylitis?,Ankylosing Spondylitis
People with spondylitis are urged to not smoke or chew tobacco products because smoking aggravates the condition.,What should patients with ankylosing spondylitis avoid?,Ankylosing Spondylitis
"If you don’t move around a lot, your symptoms may be worse. If you have to sit for a long time at work, try to get up every hour or so to stretch or walk around. (Your doctor can write a note so that you can take regular breaks.)",How can taking frequent breaks help you manage ankylosing spondylitis pain?,Ankylosing Spondylitis
"Your doctor may prescribe these to help with painful muscle spasms, ease stiffness, and make it easier to exercise. You’ll probably only take them for short times.",How can muscle relaxants help control ankylosing spondylitis pain?,Ankylosing Spondylitis
These drugs aim to fix the problems with your immune system. They target your body’s production of specific proteins that cause inflammation.,How do biologics help treat anklyosing spondilitis?,Ankylosing Spondylitis
"Although the cause of ankylosing spondylitis is unknown, there is a strong genetic or family link. Most, but not all, people with spondylitis carry a gene called HLA-B27. Although people carrying this gene are more likely to develop spondylitis, it is also found in up to 10% of people who have no signs of the condition.",What causes ankylosing spondylitis?,Ankylosing Spondylitis
"Practice good posture. Hunching over may make back pain feel better for a short time. But it only strains your spine more. There is also a risk that your vertebrae -- small, linked bones that form your backbone -- could fuse in a bent-forward position.",How can practicing good posture help you manage your ankylosing spondylitis back pain?,Ankylosing Spondylitis
Artificial joint replacement surgery may be a treatment option for some people with advanced joint disease affecting the hips or knees.,When is surgery needed for ankylosing spondylitis?,Ankylosing Spondylitis
"These drugs include medications like ibuprofen and naproxen. NSAIDs, which lower inflammation, may be a part of your regular daily treatment plan. If they are, don’t take more than prescribed without talking with your doctor. If NSAIDs aren’t a part of your treatment plan, talk with your doctor about them.",How can non-steroidal anti-inflammatory drugs (NSAIDs) help control ankylosing spondylitis pain?,Ankylosing Spondylitis
"If you have severe inflammation in a joint (called a flare), your doctor may give you a shot of corticosteroid in that spot. These drugs are also called steroids.",How do corticosteroids help treat ankylosing spondylitis (AS)?,Ankylosing Spondylitis
DMARDs used to treat AS include:,What are the DMARDs used to treat ankylosing spondylitis?,Ankylosing Spondylitis
"If you go the emergency room, you may have an EKG, blood tests, and a chest X-ray to make sure you’re not having a heart attack or other serious problem. The doctor may also give you medicine to help you relax.",What should you expect if you go to the emergency room for panic attack?,Anxiety Panic
Social anxiety disorder prevents you from living your life. You’ll avoid situations that most people consider “normal.” You might even have a hard time understanding how others can handle them so easily.,How does social anxiety disorder affect my life?,Anxiety Panic
"If you have symptoms, your doctor will examine you and ask for your medical history. They may run tests to rule out medical illnesses that might be causing your symptoms. No lab tests can specifically diagnose anxiety disorders.",How are anxiety disorders diagnosed?,Anxiety Panic
"Most panic attacks last less than 30 minutes, and often peak after 10 minutes. If you have panic attack symptoms for an hour or more, you may really be having a wave of panic attacks, one after another. There's actually a period of recovery between them, though you may not notice it. The overall effect feels like you're being hit with one never-ending attack.",What are waves of panic attacks?,Anxiety Panic
"A panic attack tends to have clear, intense, physical symptoms -- a pounding heart, shortness of breath, and so on. But a medical condition called generalized anxiety disorder (GAD) can closely mirror a panic attack. GAD is when you have a hard time controlling your worry, and you struggle to keep your anxiety in check.",What medical conditions can look like a panic attack?,Anxiety Panic
"Anxiety can make you feel restless, nervous, and panicky even when you’re not in any danger. Sometimes that can happen if you take medications that target the same parts of your body that play a role in anxiety symptoms.",Can asthma medications cause anxiety?,Anxiety Panic
"Panic attacks are generally brief, lasting less than 10 minutes, although some of the symptoms may persist for a longer time. People who have had one panic attack are more likely to have subsequent panic attacks than those who have never experienced a panic attack. When the attacks occur repeatedly -- and there is worry about having more episodes -- you have a condition known as panic disorder.",How long do panic attacks last?,Anxiety Panic
"It is not clear what causes panic disorder. In many people who have the biological vulnerability to panic attacks, they may develop in association with major life changes (such as getting married, having a child or starting a first job) and major lifestyle stressors. There is also some evidence that suggests that the tendency to develop panic disorder may run in families. People who suffer from panic disorder are also more likely than others to suffer from depression, attempt suicide, or to abuse alcohol or drugs.",What causes panic disorder?,Anxiety Panic
"People with panic disorder may be extremely anxious and fearful, since they are unable to predict when the next episode will occur. Panic disorder is fairly common and affects about 6 million adults in the U.S. Women are twice as likely as men to develop the condition, and its symptoms usually begin in early adulthood.",How common is panic disorder?,Anxiety Panic
"Antidepressants, particularly the selective serotonin reuptake inhibitors (SSRIs), are widely used to treat and prevent a variety of anxiety disorders. Antihistamines and beta-blockers can help mild cases of anxiety as well as performance anxiety, a type of social anxiety disorder. Certain anticonvulsant medicines, such as gabapentin (Neurontin) and pregabalin (Lyrica), are also beginning to show value in treating some forms of anxiety in initial research studies.",Which medications are used to treat generalized anxiety disorder?,Anxiety Panic
"Panic disorder is when you keep having panic attacks, along with worrying about having future attacks and, often, avoiding situations that may trigger or remind you of previous ones.",What can trigger a panic attack?,Anxiety Panic
"Anxiety can make you feel restless, nervous, and panicky even when you’re not in any danger. Sometimes that can happen if you take medications that target the same parts of your body that play a role in anxiety symptoms.",Can thyroid medications cause anxiety?,Anxiety Panic
"Anxiety can make you feel restless, nervous, and panicky even when you’re not in any danger. Sometimes that can happen if you take medications that target the same parts of your body that play a role in anxiety symptoms.",Can corticosteroids can cause anxiety?,Anxiety Panic
"Doctors often prescribe a combination drug, levodopa and carbidopa (Sinemet), to treat Parkinson’s. The extended-release capsule form of this drug (Rytary) can cause anxiety. Ask your doctor if another medication might be an option.",What medicines for Parkinson’s disease can cause anxiety?,Anxiety Panic
"The time it takes to recover from trigger finger depends on how bad it is. The choice of treatment also affects recovery. For example, splinting may be necessary for six weeks. But most patients with trigger finger recover within a few weeks by resting the finger and using anti-inflammatory drugs.",How long does recovery from trigger finger take?,Arthritis
"The first step is to rest the finger or thumb. Your doctor may put a splint on the hand to keep the joint from moving. If symptoms continue, your doctor may prescribe drugs that fight inflammation, such as ibuprofen or naproxen. Your doctor may also recommend an injection of a steroid into the tendon sheath. If the trigger finger does not get better, your doctor may recommend surgery.",How is trigger finger treated?,Arthritis
Steroid drugs are available in several forms that vary in how easily they dissolve or how long they stay in the body.,How are steroids given?,Arthritis
"You may not have any. If you do, they might include swelling behind your knee and maybe in your leg, knee pain, and stiffness. Sometimes, the cysts break open, or rupture. This can cause pain, swelling, and bruising on the back of your knee and calf. The pain might get worse when you fully extend your knee or when you’re active.",What are the symptoms of a Baker's cyst?,Arthritis
Try these at-home remedies to ease your pain and make yourself more comfortable:,What are home treatments for Baker's cysts?,Arthritis
"When you have scleroderma, the skin on your fingers, arms, legs, hands, feet, or face tightens, gets harder, or gets thicker. Other symptoms are:",What are symptoms of scleroderma?,Arthritis
"Prednisone is a medication in a class of drugs called corticosteroids. You might hear your doctor call them glucocorticoids. Prednisone quickly reduces inflammation, which cuts down on pain, redness, and swelling. It also dials down your immune system.",How much prednisone should I take?,Arthritis
"Prednisone is a medication in a class of drugs called corticosteroids. You might hear your doctor call them glucocorticoids. Prednisone quickly reduces inflammation, which cuts down on pain, redness, and swelling. It also dials down your immune system.",What are the side effects of prednisone?,Arthritis
Prednisone may not be good choice for people with certain health conditions. Tell your doctor if you have:,Is prednisone safe for everyone?,Arthritis
