question,answer,tags,QA
where do chiggers live?,"you can travel across the globe, but you can't escape these pests. chiggers live in every country. their favorite spots are moist, grassy areas like fields, forests, and even your lawn. you can also find them near lakes and streams.",[ Skin Problems and Treatments ],add
does wet macular degeneration ever go away?,"unfortunately, even after treatment, wet macular degeneration can recur, and you may need more treatments. because of this, people with the condition must test their own vision regularly and follow the recommendations of their eye doctor. successful and timely treatment can slow the rate of vision loss and often improve vision.",[ Macular Degeneration ],add
i have insomnia have had it for quite a few years. was told i had rbc (red blood cell count)deficiency as well?,hi low rbcs and anemia cause low oxygen supply to the tissues due to diminished oxygen carrying capacity. starting hematinic iron supplements will help you recover from these complaints. thanks,['was told i had rbc (red blood cell count)deficiency'],qd
is it better to drink something cold or hot i. e. water or tea for weight loss? . i have started trying to drink water instead of sodas for weight loss. having had a bad experience where i drank too much water and got sick i have been starting off with 20 oz of ice cold water a day. a friend of mine said the water should be either room temp or hot in order to lose weight. she said cold water will congeal the fat in my system. is this correct?,regardless if it is a hot or cold water drinking lots of water everyday will definitely improve your weight loss efforts. drinking water can make you feel full and suppress your appetite. schweiger derm - ,"['drinking', 'coldness', 'soda', 'tea', 'weight loss']",wmd
why am i constantly tired? i don't believe i am sleep-deprived. what can i do to help this? . i am tired all day long every day. getting out of bed in the morning is always a chore no matter how many hrs of sleep i get. i am constantly yawning throughout the day. i could nap at pretty much any time almost anywhere. i have increased my exercise level recently i work full time at a very mentally and physically exhausting place and i am in graduate school full time too. on avg i get about 6 hrs of sleep. however some days i get 5 hrs of sleep and some days i may sleep as many as 10.,do you have sleep apnea or obstructed sleep,['exercise'],wmd
should you practice safe sex during pregnancy?,to be safe pregnant women should avoid high-risk sexual behaviors. here are some important precautions: the absolute safest route of course is to avoid sex if your partner has a sexually transmitted disease such as hiv herpes genital warts or chlamydia. these infections can be transmitted to your baby during intercourse. some couples choose to use condoms and practice safe sex. avoid sex or use condoms if you're not absolutely sure about your partner's sexual history and there's a possibility of an unknown or undisclosed std. some experts suggest you should avoid having your partner blow air into your vagina if you engage in oral sex. it could send a dangerous air bubble into your bloodstream. if you use lubricants use a water-soluble product such as astroglide or ky jelly.,"['sexual intercourse', 'pregnancy']",wmd
could i have caught somthing from my ex? . i had sex with my ex for the first time in 4 months and a few days later i started having discharge (white or clear) and a sore spot and somtimes when i wipe down there that spot bleeds a little do you think i caught somthing from him?,that is a possibility but you would need to see your health care provider and be properly tested to be absolutely sure. symptoms alone are not sufficient to know if you acquired an std or not. if you were having unprotected sex with someone that has or may have other sexual partners your risk of an std greatly increases so i would suggest that you be properly examined and have a few screening std tests. your symptoms do not necessarily mean you have an std. there can certainly be other reasons. but for your peace of mind it would be nice to know that you do not. next time. if there is a next time. insist on condoms.,['sexual intercourse'],wmd
i had 2 previous discectomy operations i am currently in severe pain in my lower back?,your symptoms are severe but it is advised to get physiotherapy before you think about surgery.,['have had 2 previous discectomy operations'],qd
"i have pressure in my right knee but no pain; the pressure limits my ability to bend the knee fully. condition began shortly after i drove for two long days and then played tennis a day later. i am male 45 years old and in generally good health/fitness and healthy weight (5'8"" 150lbs). there's no pain unless i try to bend the knee completely. otherwise it's just a sense of pressure like there's a bit of fluid built up inside the knee. my left knee is perfectly fine. i have no other symptoms - no fever for example.","i'm sorry to hear you're going through this. it's annoying when our joints don't work correctly! you may be spot on when you say your knee joint feels like it's full of fluid. that could be exactly what's going on. many things can cause the knee joint to temporarily fill up with fluid. as long as you have no signs of a deep vein thrombosis (dvt) such as heat pain and angry redness to the calf area you probably can take a wait-and-see attitude. if the pressure and stiffness in your knee is accompanied by a ""lump"" on the back of your knee (where the leg bends) you could have a baker's cyst. this type of cyst can be caused by osteoarthritis or an injury. a baker's cyst can be easily diagnosed by mri though some medical professionals can tell simply with a physical examination. these cysts often are easy to feel. since you don't have a fever you can be relatively assured there's no infection process going on. if resting and elevating the knee don't cause the pressure to go away you should consider a visit to your primary care provider for an evaluation. wishing you well!","['pressure', 'knee']",wmd
how do you diagnose squamous cell carcinoma?,"you'll probably need to see a dermatologist, a doctor who specializes in skin conditions. they'll ask about your past and current health problems, your history of severe sunburns or indoor tanning, any pain or symptoms you're having, and when the spot first appeared.",[ Melanoma / Skin Cancer ],add
can i get the tdap booster if i never got the pertussis vaccine? . there is one pertussis case in my school and all teachers are to get the booster.,yes you can get a tdap.,['whooping cough'],wmd
i have had variocele in my left testicle since 7th grade now i felt a bump behind and under the same teste. what is it? . i am 17 now and don't know if i ignored the little bump or i just found it. but its tiny smaller than a pea and on the left teste same one with variocele. is it linked to variocele or is it more likely cancer. i have no pain other than in my left testicle due to the variocele. its on the bottom behind the testicle. i think its on the testicle or it may not to hard to tell. help please.,i can't offer you a definitive answer since i have no way of examining you over the internet but this could be a small spermatocele unrelated to your varicocele. i would suggest that you see your medical provider so that you can be properly examined and diagnosed. if you do have a lump on the testicle itself this will need to be confirmed.,"['cancer', 'testicle', 'pain', 'pea']",wmd
i have not had a period for over a year. i just started a period. is this normal and can i get pregnant? i am 53.,you should immediately consult a doctor because there are a lot of reasons for this starting from hormonal imbalance to cancer. its always better to get tested as early as possible,"['period', 'pregnancy']",wmd
i just got the flu shot yesterday and my arm feels heavy fuzzy and sore especially in shoulder joint. is this normal? . there is also a large red lump the size of half an orange. i have tried rubbing my arm in spot of shot and doing exercises with arm to try and work out soreness. but it is very sore in the shoulder especially and even with my tetanus booster shot it wasn't this sore.,yes it is normal it could take a week to a week in a half to fill normal agin it just the meds running there course but it will be fine,"['flu', 'arm', 'fuzziness', 'shoulder', 'lump']",wmd
how long will the sprain hurt? it's been a week now. i was playing a sports game on the kinect and as i was landing i landed wrong and twisted my ankle really bad. i went to the docter and they said that it was a really really bad sprain. i have been on crutches for most of the week and it's still black and blue and still hurts. it is very stiff and i do not know what to do. i have followed all the directions that i was given and it is taking longer than what other sprains have done in the past. how long can the stiffness & pain and bruising last?,so sorry to hear you're going through this. ouch! unfortunately soft tissue injuries like sprains can take a long time to heal. the fact your ankle is still black and blue after a week tells me this was a pretty serious sprain. it's going to take your body quite awhile to repair the damage. keep resting the ankle keep elevating it as much as possible and follow the other instructions you were given. if you're not able to bear weight on the ankle within the coming week i'd recommend going back to the doctor. it's always possible there's a little fracture in there that couldn't be seen on x-ray due to swelling when you were first examined. (assuming you had an x-ray initially. ) i know it's hard to be patient but keep in mind that trying to rush the healing process can actually aggravate the injury  which will take even longer to heal. i wish you all the best!,[],wmd
what canbe the cause for chlamydia not going away after treatment and no sexual intercourse after being diagnosed,hi just in case your a women google these two chlamydia and sea salt. chlamydia and boric acid both of these could be a help to you and if your afraid of taken to many antibiotics then these could you. good luck,"['sexual intercourse', 'chlamydia']",wmd
what causes little white bumps on the nose and face of your newborn?,"little white bumps on the nose and face (milia) are caused by blocked oil glands. when a baby's oil glands enlarge and open up in a few days or weeks, the white bumps disappear.",[ Baby Center ],add
i'm the only family member who got a flu shot and i have the flu and they don't. what could explain this?,most helpful answer every person is different. the flu shot is not 100% protective  many of my patients who got the flu vaccine this year developed a mutating strain of the flu. and influenza is often misdiagnosed so did you have a lab test to prove you have influenza?,"['family', 'flu']",wmd
my dad has an abnormal ecg?,hi these findings are suggestive of a weak heart. the fact that he has an abnormal ecg and old age are responsible. he has valvular heart disease affecting 3 out of the 4 valves coronary arteries seem to be blocked and his ejection pumping heart capacity is just 45 %. this should be atleast 60-70 %. he needs to consult a cardiologist and start on inotrophic drugs. healthy exercises yoga and meditation will help to some extent thanks,['abnormal ecg'],qd
i had a laceration dermabonded at hospital. dermabond came off and the cut is open. can it be reglued to prevent scar? . the laceration is shallow but its on my shoulder so it naturally pulls apart. the the nurse told me that it would be fine if i showered with the dermabond on my shoulder but he turned out to be wrong. the glue softened and the wound opened. unfortunalty i did not notice right away because of all the scabbing. today (5 days after the dermabond came off) the large scab fell off in the shower and i can see that the cut is wide open. can i reseal it so i dont end up with a huge scar?,most helpful answer no. this cannot be re-glued (or sutured) after five days unless the wound is re-cut. you are most likely going to be stuck with a scar as this wound must heal naturally now. this is why i hate and never use dermabond especially in an area where there is tension. dermabond is for lazy medical providers and those who are not skilled in suturing. it has a place but in very very few situations. suturing is almost always a better choice. i am very sorry that happened to you and that you were given the improper instructions (dermabond should not get wet in a shower). scars can be improved by plastic surgery so if you are cosmetically scarred in about a year this may be what you have to do. the body has a remarkable ability to repair damage however so things may look fine a year from now. go back to the hospital,"['scar', 'wound', 'shoulder', 'vision']",wmd
is it serious when a child gets a rash with a cold? . my son got it first but only got the rash at bedtime we treated it with hydrocortizone cream. my daughter has 'the same cold' but got the rash last night and it only goes away when we give her benidryl (sp). should i go to the hospital or keep treating her at homer? she moves around like nothing is wrong when she has tylenol and benadryl.,it is probably something minor and easily treatable but it sounds like more than a common cold. i would definitely take her to the doctor and keep giving her the benadryl. make sure you keep plenty of benadryl on hand even when they aren't sick and i would definitely want to take her to the doctor to have that rash looked at,"['hydrocortisone', 'acetaminophen', 'rash', 'movement', 'coldness']",wmd
what food should i eat after i start to feel better from an e. coli infection?,"when you start to feel better, stick to low-fiber foods at first such as:",[ Food Poisoning ],add
i have debilitating shoulder pain acupuncture physio and doctors may have caused permanent damage?,it may have damaged the soft tissues to some extent. many times calcium or uric acid crystal deposition can cause such pain. get mri done,['acupuncture physio and doctors may have caused permanent damage'],qd
what is chemotherapy for prostate cancer?,chemotherapeutic agents or chemotherapy are anticancer drugs. they are used (for hormone resistant prostate cancer) as a palliative treatment (palliation to relieve symptoms) in patients with advanced cancer for whom a cure is unattainable. recall that the goal of palliation is simply to slow the tumor's growth and relieve the patient's symptoms. chemotherapy is not ordinarily used for organ-confined or locally advanced prostate cancers because a cure in these cases is possible with other treatments. currently chemotherapy is used only for advanced metastatic prostate cancers that have failed to respond to other treatments. several chemotherapeutic agents have been used effectively to palliate metastatic prostate cancer. one such agent is estramustine (emcyt). another agent called mitoxantrone (novantrone) has been shown to be effective in combination with prednisone for palliating androgen-independent prostate cancer. as mentioned previously metastatic tumors that have not responded specifically to hormonal therapy are referred to as castrate-resistant prostate cancers. newer chemotherapy medicines like docetaxel (taxotere) have shown some promise in prolonging the survival of some patients with extensive prostate cancer. they may also decrease the pain related to widespread cancer. however this comes at the cost of significant side effects that may impact quality of life. the more common side effects of chemotherapy include weakness nausea hair loss and suppression of the bone marrow. the suppression of marrow in turn can decrease the red blood cells (causing anemia) the white blood cells (leading to infections) and the platelets (resulting in bleeding).,"['chemotherapy', 'prostate cancer']",wmd
are hernias deadly,"only if they ""incarcerate"" (twist and become entrapped) and they are not promptly treated with an immediate surgical procedure. there are many different types of hernias so i am not sure what type you are concerned about.",['hernia'],wmd
"what is the age of ""children"" guaranteed dental insurance under the law?",dental benefits are an essential health benefit for kids ages 19 and younger.,[],wmd
can you have your period and miss it the next month. we had unprotected sex on my very fertile day we haven't been together since then. the test said no but i missed my period last month and i haven't had a my period yet,hi skipping a period is normal having sex on your ovulation day wont get you pregnant or should not? its takes male sperm 3 days to reach the place where your egg should be and a female egg only survives for 24 hours so the two would not have meet. but you stressing will make you miss a period and that's a fact ok hope this calms you down. good luck,"['period', 'fertility']",wmd
what are the ingredients inibuprofen? . i take a 600mg ibuprofen only as needed for nerve pain. my question is what ingredients are in this medication. i have a legal prescription for it.,ibuprofen is the ingredient. the only ingredient. a 200 mg tablet of ibuprofen is available over the counter without a prescription; but a 600 mg or 800 mg tablet requires a prescription.,"['ibuprofen', 'nerve', 'pain']",wmd
i'm taking a prescription cough syrup that contains a narcotic. is it ok to take an over-the-counter sleep aid with it?,it is not recommended to combine sleep aids with narcotic cough syrups. it could make you excessively drowsy and is most likely unnecessary since the cough syrup will help you sleep.,"['over the counter', 'narcotic']",wmd
i have a mole/wart on my right hand palm is it dangerous?,hi it is not dangerous however if bleeding frequency increase or if size increase you will have to suspect melanoma notice that it can turn to melanoma after years so for now do not worry and just observe if its causing discomfort then just have it removed good luck,"['melanoma', 'skin cancer']",qd
how long can the flu live in your home. my son has the flu how long until it is safe for my other children and grandchildren to come into my home?,because people with the flu are contagious while they are ill and that they tend to be most contagious while they have a fever cdc advises people who are sick with flu to stay home and away from others for at least 24 hours until after their fever is gone (without the use of fever-reducing medicines). if a sick person is around others we advise that they cover their cough and everyone washes their hands frequently. most flu is spread directly from a sick person to another person. while flu viruses can be spread by surfaces contaminated with flu viruses (such as by coughing on them) this is probably not a very efficient way to spread the virus. studies have shown that human influenza viruses generally can survive on surfaces between 2 and 8 hours in usual conditions.,['flu'],wmd
do i lose my erection when i ejaculate while using viagra? . 56 year old man slightly overweight. i would like to stay eresct longer but have no problem getting hard. my wife wants more than i can provide. i always satisisfy her in other ways but she wants more coitus. what can i do,hi i have had ed and now free of it but take herbs spices and supplement's daily and this way can get erections when ever i want get nocturnal erections that wake me up and very good morning woods. if you want just google drugs versus herbs herbs my choice its a post of mine on www. franktalk. org its a site for guys with ed and prostate problems. on franktalk your see me as nowhard if you want you can pm me through the site if you join its free. if you want to try it do give 12 week trail as long as you not on any drugs like statins diabetic hbp or antidepressant drugs these are all the main sex killers. a lot of what i take is for the blood get your blood working right then you should get good erections. but you should really think of losing the weight you say you have get off any fast and junk foods and keep well away from sodas of any kind even diet drinks and leave energy drinks well alone. if you don't do get out and do some kind of exercising brisk walking is good for you and swimming. if you smoke now's the time to stop i did it if you love drinking just keep it down to beer and wine a glass of red wine is good for your blood and just the odd beer or two. do hope this helps you. good luck,"['erection', 'ejaculation', 'corpulence']",wmd
what are the symptoms of a brain tumor in adults?,a common initial symptom of a brain tumor is headaches. other symptoms include:,[ Brain Cancer ],add
the phen/phen diet. just because some people had a bad reaction to it why make everyone go off of it. it worked for me! . why can't they find something similar to it. i have fought obesity my inter life and this was the only thing that really worked for me and kept the weight off for 3 years until they took it off the market. i had the heart test done and my heart was fine so why did i have to go off of it? . i know that eat healtier and exercising is the key i understand that but the phen/phen surpressed my wanting to eat all the time. now i'm up to 317 lbs. and i could sure use a boost of something.,there are other options you could look into. first have you seen a dietitian who deals with eating issues? understanding what is behind your eating tracing back to childhood could help immensely no matter what weight loss path you choose. practicing mindful eating can help a great deal and there's lots of good research showing its effective for binge eating. as for weight loss weight loss surgery has the best long-term success. newer treatments like the sleeve help to decrease hunger hormones but is less invasive then bypass surgery. i would start with a registered dietitian and look at all your options. unfortunately weight loss drugs need to be safe. good luck and don't give up!,"['diet', 'reaction', 'obesity', 'weight', 'heart']",wmd
i know viagra has been on the market for several years. when will a generic come out that will help lower the cost? . it's a great drug for men my age but the cost is unreal,the viagra patent expires in 2020 so other companies will be able to make it generically if they choose. seven more years is a long time to wait so you better save up your money for the brand name. for now.,['drug'],wmd
is it better to apply heat or cold to sore muscles after stenuous exercise?,within the first few days of an injury ice can help the process of healing. applying ice to injured tissue can cause blood vessels to shrink and this makes them less capable of releasing chemicals that lead to swelling inflammation and pain. after a few days it probably best to apply heat to sore muscles. this makes muscle spasms less likely and relaxes injured muscles. however because the events behind every injury are different speak with your doctor first.,"['muscle', 'coldness', 'exercise']",wmd
i have a severe fear of heights recently when i stand less than two feet off the ground i have an anxiety attack. i feel like i can't breath and my whole body shakes. this has happened in the last year or so an example is tonight i had to change my smoke detector batteries and stand on a chair. i couldn't do it. i live in a house with a loft and i have never been upstairs!,i'm sorry to hear you're going through this. anxiety is no fun no matter what causes it! i suggest you investigate cognitive behavioral therapy (cbt). this type of therapy is issue-based and is designed to help resolve issues like yours quite quickly  often in four to five sessions. if that sounds impossible take it from me: it can happen! in a nutshell cognitive behavioral therapy helps you recognize the early symptoms of in your case an anxiety episode coming on so that you can disrupt your body's physical response to the trigger. you already know your trigger: heights. since you can't avoid the trigger cbt will teach you how to change your thought patterns and behaviors to derail the panic attack before it can get started. it sounds easy and it actually can be easy  with some practice. you can find many therapists who specialize in cbt. i urge you to find one and get started soon because there's no reason for you to continue limiting your life (and experiencing the nasty symptoms of a panic attack) for even one more day. wishing you well!,"['fear', 'height', 'foot', 'anxiety', 'smoking']",wmd
what foods should be avoided when taking coumadin (warfarin)?,there really aren't any foods you need to avoid while taking coumadin. since coumadin works on vitamin k foods that are high in vitamin k can affect your inr (the test to measure how well your coumadin is working). foods like kale spinach collard greens and brussels sprouts all have high amounts of vitamin k. while you shouldn't binge on them one day and avoid them the next if you have one or two servings a week consistently you should not notice a difference.,['food'],wmd
can you get trichomoniasis from oral sex,maybe perhaps in extreme or unusual sexual circumstances but his parasite will not survive long in the mouth. it can thrive quite well in the female and male genital tract however.,"['sexual intercourse', 'trichomoniasis']",wmd
can i ski with a torn achilles tendon? i have a chronic tear not rupture if i wear a lift and brace?,"you would need to get this ""okay"" from your medical provider  someone who knows you and your particular case.",['achilles tendon'],wmd
chances of getting pregnant with tubal clamps?,the chances of pregnancy with tubal clamps is pretty low so you might want to look into the possibility of perimenopause or menopause as well. if you turned out to be pregnant it could be tubal which is a medical emergency. try a cheap home pregnancy test?,['pregnancy'],wmd
how are steroids given?,steroid drugs are available in several forms that vary in how easily they dissolve or how long they stay in the body.,[ Arthritis ],add
doctor i am 19 weeks pregnanti am really depressed,with blood test results in hand your doctor will prescribe you thyroid hormone levothyroxine (levothroid synthroid etc. ) it may take a blood test or 2 to get the right dosage. but it is a very very easy condition to treat. once your tsh and t4 get back to normal you will feel much better than you do now and the babys thyroid production will be ok too. just get that hormone treatment going now.,"['depressed', 'pregnant']",qd
is it true that if you normally get a flu shot that you need to continue getting them? why or why not?,i am a strong advocate for the flu shot (and other vaccines) so i think that everyone should get vaccinated each year. it is not imperative that this be done but it makes common sense since influenza tends to kill tens of thousands of people each year. if you skip a year for whatever reason nothing bad will happen other than the fact you will be vulnerable to getting (and spreading) this year's strains of the flu. why take the risk?,['flu'],wmd
i have knocked knees – no fix – or do i need surgery?,hi knock knees at your age needs surgery to be cosmetically ok. otherwise you wont have any problems with your knees for atleast 30 years from now. surgery has only benefit of making the knee straight. otherwise there are anesthesia risks. also making the bones weak. scars. implant related problems are just a few cons. better to avoid surgery. thanks,['knocked knees'],qd
i have sinusitis and have complete loss of taste and smell. already on antibiotic meds. what can i do? . i have lost smell and taste for one week. been on bactrim 400mg nasonnex spray and had a cortisone shot two days ago. is there anything i can do? or should i just be patient?,take your antibiotoics and be paitent. that happens to me everytime i get a sinus infection. try also using breath right strips i found they helped relieved pressure during the night so i was able to taste somethings in the mornings.,"['injection', 'smell', 'taste', 'antibiotic', 'sinus infection']",wmd
can you fly when you have vertigo,usually but keep in mind there are many different causes of vertigo and since i do not know what is causing your vertigo this question should only be answered by your doctor  someone who knows you and your medical history.,['vertigo'],wmd
i was dumb and went in about an inch wth no condom for about 30 sec. . i didnt see any pre cum and didnt cum for a long time after and it was somewhere else. its been 7 days now what are the chances of pregnancy?,"there is always a chance of an unintentional pregnancy when you practice unsafe sex. period. even though the chance may be small it is not ""zero"". you may need to sweat it out for a few weeks to see if your partner has become pregnant or even consider having her use a ""morning after"" pill. if you and your partner lucked-out this time make sure that this mindless act never happens again. i agree with you. it was a dumb thing to do. when a man thinks with his penis and not his brain all sorts of problems can occur. from an unintentional pregnancy or the transmission of a sexually-transmitted disease. having strong sexually feelings and desires are normal for both of you but please. please. please. be smart. if you cannot abstain. if you cannot limit your sexual activity to non-genital contact. then you must always use a condom and your partner should be using another form of contraception as back up (condoms can break or slip off you know).","['condom', 'pregnancy']",wmd
i take hydrocodone 10/660. what does the 10/660 mean?,this is a common question. believe it or not the medication that you are on is a combination product that uses two medications to combat pain on two different levels. acetaminophen (660 mg) is an effective pain reliever and is used in combination with the hydrocodone (10 mg). you want to take the medication exactly as prescribed by your doctor or health care provider.,['hydrocodone'],wmd
can a strep throat that was trated with antibiotics cause joint pain and swelling? . 29 year old female with sudden onset of swelling and painful joints. 2 weeks ago had strep throat treated with a shot in the urgent care center.,sorry you're dealing with this. i definitely would have these new symptoms checked out. there may be some cause/effect between the strep and the swollen painful joints or you may have developed something else entirely. at any rate the sudden onset of the symptoms you describe in an otherwise healthy young female is reason enough to seek medical care right away. your best bet is to return to the urgent care facility where you received the strep test and injection because they'll have your medical records at hand. normally i wouldn't advise someone who believes they have strep throat to seek urgent care. it's something that can be handled by a primary care provider. take care and best wishes!,"['strep throat', 'injection', 'swelling', 'pain', 'antibiotic']",wmd
do high triglyceride levels affect your pancreas?,if your triglyceride levels are very high  above 500 mg/dl  you are more likely to get inflammation in your pancreas.,[ Cholesterol Management ],add
i had 8 negative pregnancy tests and then 1 positive?,hi you are right. this seems highly impossible. the test may have been mis-interpretated. i suggest you to get a b-hcg test in the laboratory done and a ultrasound abdomen to confirm pregnancy. thanks,['negative pregnancy tests'],qd
what should i do if i suspect an overdose of magtab?,if overdose is suspected contact your local poison control center or emergency room immediately. us residents can call the us national poison hotline at 1-800-222-1222. canada residents can call a provincial poison control center. symptoms of overdose may include slow heartbeat severe drowsiness dizziness confusion muscle weakness loss of consciousness.,"['drug overdose', 'magnesium']",wmd
how long does it take medication to enter your blood stream. how does it take a oxycodone 30 to enter your blood stream.,"the general answer to your question is: it depends on the medication. every drug works differently. i think what you're referring to is the ""peak concentration"" point sometimes called the point of ""peak effectiveness. "" that's the point in time at which a medication is most concentrated in your bloodstream. in the case of oxycodone the medication is released almost immediately after you take it. it reaches peak effectiveness within a couple of hours and then gradually tapers off over the course of about 24 hours. always follow the dosing instructions on any bottle of narcotics like oxycodone. if you take too much oxycodone you can stop breathing. obviously that's bad. if you have any questions about your prescription medications you can always call a pharmacist. many pharmacies are open 24 hours a day and a pharmacist will be happy to answer any questions you have about how to take your medications. hope this helps!",['oxycodone'],wmd
my 2 yr old has had a fever on and off the last 2 weeks why does it keep coming back? . he had a fever 2-3 days then it went away and about a week and a half later it came back and hes had it off and on for 3 days now. i have been giving him medicine and it temporarily breaks the fever but then it comes back. he has a dr appt tomorrow. but what could be the cause for the reoccuring fever?,a fever is the body's normal response to fighting off a pathogen (virus bacteria) or respond to inflammation. there can be hundreds of reasons for a child to get a recurrent fever but in most cases it tends to be one or more of the over 200 respiratory viruses. fevers are not dangerous but finding the reason is important so i am glad you are seeing his doctor.,['fever'],wmd
every time i cough or sneeze i pass blood clots also through vaginal discharge and during intercourse?,in my opinion you either miscarriage uterine fibroids or endometriosis i recommend you see a gynaecologist good luck,['every time i cough or sneeze i pass blood clots'],qd
"my daughter is 11 years old she has has pneumonia she has been sick since january 3rd symptoms keep changing. she is up at night itching all over her upper torso, head, and ears. she has major headache and abdominal pain.. she is very upset and crying because this is going on way to long and she has seen many doctors with no relief any suggestions. tried most itching products what could be causing the head pain and stomach pain. they check her today for appendicitis",hello and welcome to ask a doctor service. i have reviewed your query and here is my advice. according to the history it might be a viral situation or an allergy. don't worry so much she is under medical control. regards dr.jolanda,can pneumonia cause itching in upper torso?,mds
i have urination issues. i just finish going and when i stand up i have an urgent need to go again?,this doesnt seem to be due to any drugs. it may be due to a local bladder or urethral pathology. you should consult a urologist and get a retrograde ureteroscopy done.,['i have urination issues'],qd
does stress cause hair loss,stress isn't a direct cause of hair loss. a significant stress of some sort may stimulate a change in your body's routine physiological functions. hair loss can result as the response of your body to significant physiological stress that may be due to diet medical or lifestyle changes. hair loss due to stress is temporary and once the cause is addressed hair grows back.,"['stress', 'hair loss']",wmd
i have joint pain and muscle spasms since 2011 now developed numbness in legs?,hi auto immune disease along with a sign of hormonal disturbance is more likely. needs a detailed blood evaluation. consult a physician and a neurologist thanks,['i have joint pain and muscle spasms'],qd
what does the t score of your bone mineral density test mean?,"the t score compares your bone density with a healthy, young adult of your gender. here's what the scores mean:",[ Osteoporosis ],add
